Autor;Título;Archivo;Volumen;Seccion;URL;Ano
Elisa Vilaret;La traducción y el lenguaje científico;n1_TradLengCientifico.pdf;1;Congresos y actividades;https://www.tremedica.org/wp-content/uploads/n1_TradLengCientifico.pdf;2000
Fernando A. Navarro;Minidiccionario crítico de dudas;n1_Minidiccionario.pdf;1;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n1_Minidiccionario.pdf;2000
Fernando A. Navarro;El Plumero;n1_Plumero.pdf;1;Reseñas;https://www.tremedica.org/wp-content/uploads/n1_Plumero.pdf;2000
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Tabaco</em>;Tabaco n1_PrimeraVez_Tabaco.pdf;1;Entremeses;https://www.tremedica.org/wp-content/uploads/Tabaco n1_PrimeraVez_Tabaco.pdf;2000
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Ortopedia</em>;Ortopedia n1_PrimeraVez_Ortopedia.pdf;1;Entremeses;https://www.tremedica.org/wp-content/uploads/Ortopedia n1_PrimeraVez_Ortopedia.pdf;2000
Fernando A. Navarro;¿Quién lo usó por vez primera? <em>Duodeno</em>;Duodeno n1_PrimeraVez_Duodeno.pdf;1;Entremeses;https://www.tremedica.org/wp-content/uploads/Duodeno n1_PrimeraVez_Duodeno.pdf;2000
Francisco Hernández | Ignacio Navascués Benlloch;Notas galénicas;n1_NotasGalenicas.pdf;1;Traducción y terminología;https://www.tremedica.org/wp-content/uploads/n1_NotasGalenicas.pdf;2000
Gustavo A. Silva;Presentación;n1_Presentacion.pdf;1;Presentación;https://www.tremedica.org/wp-content/uploads/n1_Presentacion.pdf;2000
Ignacio Navascués Benlloch;Desde la cámara vítrea, con humor... (1);n1_CamaraVitrea.pdf;1;Tribuna;https://www.tremedica.org/wp-content/uploads/n1_CamaraVitrea.pdf;2000
Iñaki Ugarteburu;Implantar e implante;n1_Implante.pdf;1;Tribuna;https://www.tremedica.org/wp-content/uploads/n1_Implante.pdf;2000
Iñaki Ugarteburu;Traducción especializada;n1_TradEspecializada.pdf;1;Congresos y actividades;https://www.tremedica.org/wp-content/uploads/n1_TradEspecializada.pdf;2000
Joaquín Segura;Medtrad: a un año de distancia;n1_Editorial.pdf;1;Editorial;https://www.tremedica.org/wp-content/uploads/n1_Editorial.pdf;2000
Jorge Avendaño-Inestrillas;Introducción;n1_RevEstilo-Intro.pdf;1;Revisión y estilo;https://www.tremedica.org/wp-content/uploads/n1_RevEstilo-Intro.pdf;2000
José Antonio Díaz Rojo;Nociones de neología;n1_NocionesNeologia.pdf;1;Tribuna;https://www.tremedica.org/wp-content/uploads/n1_NocionesNeologia.pdf;2000
José Antonio Díaz Rojo;¿Eccema o eczema?;n1_Eccema.pdf;1;Reseñas;https://www.tremedica.org/wp-content/uploads/n1_Eccema.pdf;2000
José Antonio Díaz Rojo;Introducción a la traducción científica;n1_TraducCientifica.pdf;1;Reseñas;https://www.tremedica.org/wp-content/uploads/n1_TraducCientifica.pdf;2000
José Antonio Díaz Rojo;Terminología de la documentación médica;n1_TerminTraducMedica.pdf;1;Reseñas;https://www.tremedica.org/wp-content/uploads/n1_TerminTraducMedica.pdf;2000
José Antonio Díaz Rojo;Traducción de instrumentos de evaluación en medicina;n1_InstrumEvaluacion.pdf;1;Reseñas;https://www.tremedica.org/wp-content/uploads/n1_InstrumEvaluacion.pdf;2000
Karen Shashok;European Medical Writers Association;n1_EMWA.pdf;1;Congresos y actividades;https://www.tremedica.org/wp-content/uploads/n1_EMWA.pdf;2000
